restaurant_id,restaurant_name,cuisine_type,restaurant_address,latitude,longitude,manhattan_region,restaurant_rating,review_count,price
C-8mGN7lt5rIraO5n-15ug,The Smith,American,"'956 2nd Ave, New York, NY 10022'",40.755165,-73.967868,Midtown,4.0,2654,$$
z5hRX3iJ5Ty_S38iG_WY3Q,Tanner Smiths,American,"'204 W 55th St, New York, NY 10019'",40.76442,-73.98169,Midtown,4.5,1746,$$
IOHaEgK1zDvUvB3SfKuGCw,Parker & Quinn,American,"'64 W 39th St, New York, NY 10018'",40.7525862175813,-73.9850713153442,Midtown,4.0,1355,$$
cCesIqo-LQt0cRlZAnrAZQ,Friedman's,American,"'132 W 31st St, New York, NY 10001'",40.748297,-73.990649,Midtown,4.0,2467,$$
LHxZgTddXIp_S1sL3nNG9w,Park Avenue Tavern,American,"'99 Park Ave, New York, NY 10016'",40.75031,-73.9783999,Midtown,4.0,769,$$
xt4sa64WOrpJvZBDPNPNYg,Jacob's Pickles,American,"'509 Amsterdam Ave, New York, NY 10024'",40.7866504411994,-73.9755284786224,Uptown,4.0,4226,$$
Xd_l7jtUAZZAAvK8-mI2Jw,The Smith,American,"'1150 Broadway, New York, NY 10010'",40.74424,-73.98878,Midtown,4.0,1004,$$
0IwdwNnbro5RLLIlaxyfpQ,The Wilson,American,"'132 W 27th St, New York, NY 10001'",40.74587,-73.99265,Midtown,4.5,165,
JXcYD52B4190gIh6_RSXCg,Lilly's Craft and Kitchen,American,"'675 9th Ave, New York, NY 10036'",40.76138,-73.99071,Midtown,4.0,1021,$$
gvWzAiMrFm9AgfSN2I8Miw,Ivy,American,"'944 8th Ave, New York, NY 10019'",40.765751,-73.983167,Midtown,4.0,405,$$
veku2cg2qaV-7MxwhOMBmg,Judge Roy Bean Public House,American,"'38 W 56th St, New York, NY 10019'",40.7629158108786,-73.9761248066812,Midtown,4.5,747,$$
JYNBy2r3LVhJbLHE1bASfg,The Smith,American,"'1900 Broadway, New York, NY 10023'",40.7716201269986,-73.9818377981476,Uptown,4.0,1714,$$
MctQwL9Mp5X7DJk13VoERg,Westville Chelsea,American,"'246 W 18th St, New York, NY 10011'",40.74175,-74.00007,Midtown,4.0,1120,$$
xMUZfoyzyJoTfZxrEZus4Q,Mom's Kitchen & Bar,American,"'701 9th Ave, New York, NY 10019'",40.76247,-73.9901,Midtown,4.5,734,$$
ssGhu4n3emZ9kEPVf371IQ,Cookshop,American,"'156 10th Ave, New York, NY 10011'",40.7454251,-74.0056084,Midtown,4.0,2108,$$
xkvv0n7jbl4Ra3Vm_jfxaA,Upland,American,"'345 Park Ave S, New York, NY 10010'",40.7418912,-73.9846396,Midtown,4.0,1016,$$$
tOn-wEQ06ScrgeU5Ljw7Gw,Alfie's,American,"'800 9th Ave, New York, NY 10019'",40.765437,-73.987278,Midtown,4.0,523,$$
MyQV4i518ZO4CLudtR8gLA,The Bar Room,American,"'117 E 60th St, New York, NY 10022'",40.763409,-73.968449,Midtown,4.0,516,$$
hGo9KArKThuOKxNbwmNpoA,Ruby's Cafe,American,"'219 Mulberry St, New York, NY 10012'",40.7223288,-73.996326,Downtown,4.0,1223,$$
PYmjoid5P-Mw8dkkKxZy6w,Harvest Kitchen,American,"'269 Columbus Ave, New York, NY 10023'",40.777697,-73.978357,Uptown,4.0,128,$$
mWS4umRg2AyykyAClMrIRw,The Penrose,American,"'1590 2nd Ave, New York, NY 10028'",40.775427,-73.953115,Uptown,4.0,1194,$$
0moBSyrTezcT3uePV74nug,Westville Hell's Kitchen,American,"'809 9th Ave, New York, NY 10019'",40.76577,-73.9875,Midtown,4.5,132,$$
qMHzIYzoHYe55I7L65iEQw,Foragers Table,American,"'233 8th Ave, New York, NY 10011'",40.744541,-73.9990926,Midtown,4.0,549,$$
zRXMvxUX_rOliKZPpkWi_g,Valerie,American,"'45 W 45th St between 5th & 6th Ave, New York, NY 10036'",40.756354,-73.981129,Midtown,4.0,248,
ULt3kmA0_hbZ3j6cMORCaA,Root & Bone,American,"'200 E 3rd St, New York, NY 10009'",40.7228079872831,-73.9833535829059,Downtown,4.0,1616,$$
k5NAz3-goMXKoUqPfOZ1Hw,The Smith,American,"'55 3rd Ave, New York, NY 10003'",40.730957886229,-73.9886217,Downtown,3.5,1965,$$
AA9wpuJRhkSHUePAiv3otA,The Leroy House,American,"'430 Hudson St, New York, NY 10014'",40.73063,-74.00661,Downtown,4.5,84,
m86CNmYThtzzWB3nPnrhbg,Emily - West Village,American,"'35 Downing St, New York, NY 10014'",40.729330068469,-74.0038400073579,Downtown,4.0,657,$$
unWoFZeSWa0DK1YMekO_Uw,Trademark Taste + Grind,American,"'38 W 36th St, New York, NY 10018'",40.7503233942813,-73.9855566306885,Midtown,4.5,646,$$
uoT2_Wrt1noD6kZOID7tUg,Jane,American,"'100 W Houston St, New York, NY 10012'",40.72732,-74.00026,Downtown,4.0,3149,$$
Rc1lxc5lSKJYd162JHNMfQ,Bea,American,"'403 W 43rd St, New York, NY 10036'",40.7591968,-73.9923361,Midtown,4.0,2498,$$
j3HLOkrjzBjcvYPiIHua1A,Jasper's Taphouse + Kitchen,American,"'761 9th Ave, New York, NY 10019'",40.764266,-73.9886122,Midtown,4.0,369,$$
0yMlU3xbdawYFXmjNc0dhw,The Harrow New York,American,"'720 10th Ave, New York, NY 10019'",40.76419,-73.99182,Midtown,4.5,216,$$
8F81LrdFm6P5kkFpsw0n0w,Sweet Chick,American,"'178 Ludlow St, New York, NY 10002'",40.7217399,-73.98739,Downtown,4.0,1649,$$
mHBhUxHgDGjsB1LJl4qW0w,Hillstone Restaurant,American,"'888 3rd Ave, New York, NY 10022'",40.758352,-73.969112,Midtown,4.0,1101,$$$
I6optu9x0JAf8oT5lqJ8qw,The Blue Dog Cookhouse & Bar,American,"'308 W 50th St, New York, NY 10019'",40.76244,-73.98674,Midtown,4.0,1235,$$
QpkKEFHK5dz8XT-osEXgJw,The Grey Dog,American,"'242 W 16th St, New York, NY 10011'",40.740624,-74.000648,Midtown,4.0,1111,$$
FST41XVNfiBgJHkutII-3w,American Retro,American,"'714 11th Ave, New York, NY 10019'",40.76618,-73.99409,Uptown,4.0,210,$$
SaYTVG7wHCMDBofHCgXPaA,Dutch Freds,American,"'307 W 47th St, New York, NY 10036'",40.760835,-73.987823,Midtown,4.5,1570,$$
scjoZtbTQHi35xhAlUm2iQ,L'ADRESSE,American,"'1065 Ave Of The Americas, New York, NY 10018'",40.75403,-73.98539,Midtown,4.0,629,$$
fEig4z0y_qCMRLvW7HRuqA,Harding's,American,"'32 E 21st St, New York, NY 10010'",40.7393229,-73.9887163,Midtown,4.0,358,$$
EExssFJhwDf11NDAfpdXPQ,Casa Nomad,American,"'1204 Broadway, New York, NY 10001'",40.746293,-73.98825,Midtown,4.5,66,$$
IBgjj5VBu5JJvKgo9EzKrg,The Three Monkeys,American,"'236 W 54th St, New York, NY 10019'",40.764164,-73.98306,Midtown,4.0,1161,$$
